of,and,of the,for,in the,with,in,to,the,that,
77.235772,88.075881,23.035230,8.130081,2.710027,10.840108,5.420054,16.260163,82.655827,2.710027,
102.163462,97.355769,55.288462,20.432692,1.201923,6.009615,6.009615,8.413462,97.355769,7.211538,
70.873786,94.174757,30.097087,9.708738,10.679612,6.796117,16.504854,16.504854,98.058252,6.796117,
48.721072,93.788063,42.630938,3.654080,13.398295,3.654080,18.270402,7.308161,118.148599,8.526188,
51.428571,64.761905,32.380952,7.619048,0.000000,7.619048,7.619048,5.714286,110.476190,7.619048,
59.670782,49.382716,26.748971,8.230453,4.115226,18.518519,10.288066,6.172840,57.613169,4.115226,
37.181996,60.665362,23.483366,7.827789,0.000000,5.870841,0.000000,0.000000,133.072407,21.526419,
63.094209,62.229905,53.586863,12.100259,5.185825,8.643042,6.050130,6.914434,94.209162,6.914434,
38.727524,51.175657,16.597510,27.662517,2.766252,6.915629,8.298755,11.065007,51.175657,12.448133,
38.116592,49.327354,21.300448,13.452915,13.452915,5.605381,29.147982,5.605381,72.869955,13.452915,
72.916667,38.825758,31.250000,13.257576,9.469697,10.416667,13.257576,3.787879,88.068182,28.409091,
42.510121,118.421053,27.327935,12.145749,2.024291,12.145749,4.048583,7.085020,104.251012,7.085020,
30.448718,116.987179,24.038462,24.038462,1.602564,4.807692,1.602564,6.410256,131.410256,6.410256,
44.585987,78.025478,25.477707,12.738854,6.369427,7.961783,12.738854,7.961783,62.101911,11.146497,
31.390135,63.677130,4.484305,7.174888,8.968610,2.690583,12.556054,7.174888,77.130045,27.802691,
41.984733,53.435115,15.267176,38.167939,11.450382,0.000000,15.267176,7.633588,61.068702,3.816794,
25.848142,51.157781,9.154550,3.231018,25.848142,0.538503,44.695746,2.692515,81.852450,10.770059,
47.869235,83.479276,25.685931,14.594279,12.259194,7.005254,20.431991,16.345593,93.987157,21.015762,
39.173014,81.610446,8.705114,9.793254,0.000000,6.528836,19.586507,5.440696,59.847661,26.115343,
