saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.537731,0.537731,0.896218,0.537731,0.000000,0.000000,0.000000,0.000000,2.688654,0.000000,
0.000000,1.128668,0.000000,9.781791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.348939,0.917976,2.942923,0.134996,0.323992,0.404989,0.000000,0.000000,1.160970,0.000000,
7.736672,3.047780,7.877339,0.093778,0.468889,0.562667,0.000000,0.000000,0.328222,0.000000,
0.000000,0.293169,0.586338,0.000000,0.586338,0.879507,0.000000,0.000000,0.293169,0.000000,
5.329814,0.329941,5.380574,0.101520,0.456841,0.482221,0.000000,0.000000,0.329941,0.000000,
0.000000,9.738861,0.000000,0.172369,0.603292,0.861846,0.000000,0.000000,0.430923,0.000000,
0.773096,0.773096,0.773096,1.352918,1.932741,1.739467,0.000000,0.000000,0.000000,0.000000,
0.491884,0.000000,0.491884,0.000000,2.951303,2.951303,0.000000,0.000000,0.000000,0.000000,
10.199241,0.237192,10.673624,0.237192,1.660342,0.474383,0.000000,0.000000,2.371917,0.000000,
4.484305,0.000000,5.979073,0.000000,2.989537,2.989537,0.000000,0.000000,0.000000,0.000000,
0.000000,1.515152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.269036,0.000000,1.586294,0.634518,0.317259,0.317259,0.000000,0.000000,0.317259,0.000000,
2.336449,0.000000,2.336449,0.000000,0.000000,0.000000,0.000000,0.000000,0.778816,0.000000,
0.000000,0.000000,0.677966,0.000000,0.000000,0.000000,0.000000,0.677966,0.000000,0.000000,
3.710575,0.618429,3.710575,0.618429,1.236858,1.236858,0.000000,0.000000,0.000000,0.000000,
16.814159,1.769912,16.814159,0.000000,0.000000,0.000000,0.000000,0.000000,0.884956,0.000000,
6.518702,0.465622,6.518702,0.310414,0.000000,0.000000,0.000000,0.000000,0.465622,0.000000,
14.037058,0.000000,15.160022,0.000000,0.000000,1.122965,0.000000,0.000000,0.000000,0.000000,
0.000000,0.591116,1.984462,0.464449,0.337781,0.506671,0.084445,0.506671,1.731126,7.262287,
0.000000,0.593433,3.164974,0.395622,0.065937,0.131874,0.065937,0.329685,0.791244,6.395886,
0.038552,0.192760,0.385520,0.462624,0.308416,0.346968,0.000000,0.462624,1.696287,3.855199,
0.104745,0.314235,5.918089,1.152194,0.104745,0.104745,0.104745,0.000000,3.456583,13.407353,
0.164976,0.164976,0.412439,0.000000,0.288707,0.247463,0.659903,0.618659,0.164976,2.804586,
0.424538,0.000000,2.016557,1.273615,0.742942,0.849077,2.759499,4.139249,2.016557,4.033114,
0.211372,0.000000,0.845487,0.528430,0.000000,0.000000,1.796660,0.739801,2.959205,2.853519,
0.329761,0.164880,0.494641,1.813685,0.329761,0.659522,1.648805,1.154163,1.319044,3.297609,
0.324254,0.000000,0.648508,1.297017,1.621271,0.972763,3.566796,7.133593,1.621271,5.512322,
0.000000,0.000000,0.661813,4.632694,1.323627,0.992720,3.970880,2.647253,0.661813,6.949040,
0.000000,0.000000,0.000000,1.832341,0.000000,0.000000,4.580852,2.290426,0.458085,10.077874,
0.000000,0.000000,0.000000,2.021223,0.505306,0.505306,1.515917,2.526529,0.505306,4.042446,
0.000000,0.000000,0.000000,3.266195,1.088732,1.088732,4.899292,4.354927,0.544366,9.254219,
0.000000,0.000000,0.000000,1.956947,0.000000,0.000000,10.763209,3.913894,0.000000,11.741683,
0.000000,0.891266,0.445633,1.336898,0.000000,0.000000,3.565062,8.467023,0.000000,6.238859,
0.000000,0.000000,0.000000,1.800720,0.000000,0.000000,3.601441,4.801921,0.000000,8.403361,
0.000000,0.000000,0.000000,4.464286,0.000000,0.000000,4.464286,5.580357,2.232143,4.464286,
0.000000,0.000000,0.000000,4.651163,0.000000,0.000000,9.302326,4.651163,0.000000,16.279070,
0.724953,0.144991,2.029868,0.434972,0.144991,0.434972,0.434972,4.639698,1.739887,2.029868,
0.000000,0.000000,1.302083,1.302083,0.000000,0.000000,0.868056,6.944444,1.302083,0.868056,
0.000000,0.808081,0.000000,2.424242,0.000000,0.000000,3.636364,2.020202,1.616162,4.444444,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.151320,1.287830,0.643915,5.795235,
