saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.000000,6.564551,0.000000,0.000000,10.940919,10.940919,0.000000,0.000000,0.000000,0.000000,
0.000000,1.522070,0.000000,0.000000,3.044140,3.044140,0.000000,0.000000,0.000000,0.000000,
0.000000,2.528445,0.000000,0.000000,7.585335,7.585335,0.000000,0.000000,0.000000,0.000000,
1.122334,0.000000,1.122334,0.000000,2.244669,2.244669,0.000000,0.000000,0.000000,0.000000,
1.683502,1.683502,3.367003,0.000000,5.050505,5.050505,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,11.952191,11.952191,0.000000,0.000000,0.000000,0.000000,
1.445087,0.000000,1.445087,0.000000,4.335260,4.335260,0.000000,0.000000,0.000000,0.000000,
2.136752,0.000000,2.136752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.036660,0.000000,2.036660,0.000000,3.054990,3.054990,0.000000,0.000000,2.036660,0.000000,
1.112347,0.000000,1.112347,0.000000,2.224694,2.224694,0.000000,0.000000,0.000000,0.000000,
3.076923,0.000000,3.076923,0.000000,6.153846,6.153846,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.028131,6.028131,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,4.444444,4.444444,0.000000,0.000000,0.000000,0.000000,
0.000000,1.074114,0.000000,0.000000,10.741139,10.741139,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,2.805049,2.805049,0.000000,0.000000,0.000000,0.000000,
